CITY,STATE,ZIP,MARKET,COMP,COMP2,MEDIA
Novato,California,94949,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Liverpool,New York,13090,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Somerset,New Jersey,08873,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Logan,Utah,84321,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Tampa,Florida,33609,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Albuquerque,New Mexico,87106,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Newton,Massachusetts,02459,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Indianapolis,Indiana,46228-3397,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Bellmore,New York,11710,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Atchison,Kansas,66002,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Millbrook,New York,12545,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Mayfield Village,Ohio,44143,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Sparta,New Jersey,07871,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Franklin Square,New York,11010,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Grapevine,Texas,76051,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Greenville,North Carolina,27858-2210,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Bryan,Texas,77807-1463,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Glendale,California,91208,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Baton Rouge,Louisiana,70808-4832,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Wauwatosa,Wisconsin,53213-1318,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Kingwood,West Virginia,26537,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Keller,Texas,76248,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Reno,Nevada,89503,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Staten Island,New York,10310,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Alexandria,Minnesota,56308,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Mesa,Arizona,85207,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Cincinnati,Ohio,45215,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Culver City,California,90232,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Springfield,Illinois,62712-5547,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Fayetteville,Arkansas,72701-2362,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Scottsdale,Arizona,85255,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Palm Harbor,Florida,34684,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Erie,Pennsylvania,16509,GRE/PhD,Grad Application,RUC Grad Program List,Letter
New Orleans,Louisiana,70119-3907,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Bronx,New York,10458-8002,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Waldorf,Maryland,20602-5169,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Boone,North Carolina,28607,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Mechanicsburg,Pennsylvania,17055,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Forest Hills,New York,11375,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Upper Darby,Pennsylvania,19082,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Valencia,California,91355,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Franklin,Tennessee,37064,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Sharon,Pennsylvania,16146,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Bentonville,Arkansas,72712,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Allentown,Pennsylvania,18104,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Piperton,Tennessee,38017,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Brentwood,Tennessee,37027,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Simi Valley,California,93065,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Auburn,Alabama,36832,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Naples,Florida,34109-3564,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Wilmette,Illinois,60091,GRE/PhD,Grad Application,RUC Grad Program List,Letter
New Orleans,Louisiana,70125,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Watertown,New York,13601,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Saint Louis,Missouri,63122-4432,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Pearland,Texas,77581,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Richmond,Kentucky,40475-6810,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Milford,New Jersey,08848,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Chicago,Illinois,60643,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Washoe Valley,Nevada,89704,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Foster City,California,94404,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Stevenson Ranch,California,91381,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Melbourne,Florida,32940-1277,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Duluth,Georgia,30097,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Philadelphia,Pennsylvania,19107-2804,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Marietta,Georgia,30064-5725,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Prairieville,Louisiana,70769,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Saint Paul,Minnesota,55104-6708,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Los Angeles,California,90045-1821,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Shreveport,Louisiana,71115,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Magnolia,Texas,77355,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Yuma,Arizona,85367,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Springfield,Virginia,22151,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Bel Air,Maryland,21014,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Fairmont,West Virginia,26554,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Marietta,Georgia,30064-4335,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Gainesville,Virginia,20155,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Cypress,Texas,77429,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Hendersonville,Tennessee,37075,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Columbus,Ohio,43229,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Tallahassee,Florida,32304,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Drums,Pennsylvania,18222,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Fort Wayne,Indiana,46845,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Mars,Pennsylvania,16046,GRE/PhD,Grad Application,RUC Grad Program List,Letter
San Antonio,Texas,78216,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Sunland Park,New Mexico,88008-5214,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Islip,New York,11751-4008,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Lakeside Park,Kentucky,41017,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Decatur,Georgia,30030,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Midlothian,Virginia,23112,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Washington,Pennsylvania,15301,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Desloge,Missouri,63601,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Oxford,Ohio,45056-2774,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Gainesville,Florida,32608-1334,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Grand Junction,Colorado,81501-4328,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Longmont,Colorado,80503,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Boston,Massachusetts,02115-4119,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Richardson,Texas,75080,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Mount Clare,West Virginia,26408,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Clarksville,Tennessee,37042,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Cutler Bay,Florida,33157-8967,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Richmond,Kentucky,40475,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Pullman,Washington,99163-4652,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Winthrop,Washington,98862,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Dover,Massachusetts,02030,GRE/PhD,Grad Application,RUC Grad Program List,Letter
New Brunswick,New Jersey,08901-2827,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Chattanooga,Tennessee,37415,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Brooklyn,New York,11233-2400,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Middlesex,New York,14507-9709,GRE/PhD,Grad Application,RUC Grad Program List,Letter
