CITY,STATE,ZIP,MARKET,COMP,COMP2,MEDIA
Atlanta,Georgia,30324-5679,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Tuscaloosa,Alabama,35405-1671,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Hays,Kansas,67601,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Provo,Utah,84606,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Middletown,Delaware,19709,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Lonoke,Arkansas,72086,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Indiana,Pennsylvania,15701-2615,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Livingston,New Jersey,07039,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Ridge,New York,11961,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Staten Island,New York,10302,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Pittsburgh,Delaware,15213-3115,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Fayetteville,Arkansas,72703-2115,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Melbourne,Florida,32934-7562,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Ravenel,South Carolina,29470,GRE/PhD,Grad Application,RUC Grad Program List,Letter
New York,New York,10009,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Rehoboth,Massachusetts,02769-3021,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Charlotte,North Carolina,28207,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Portland,Oregon,97202,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Oxford,Ohio,45056,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Seneca,South Carolina,29678,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Tampa,Florida,33647,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Fishkill,New York,12524-4979,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Rosedale,New York,11422,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Saint James,New York,11780,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Windsor,Pennsylvania,17366,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Northport,Alabama,35473,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Albany,Oregon,97321-1397,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Woodbridge,Virginia,22193,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Fayetteville,Arkansas,72701-6964,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Mountain Brk,Alabama,35223-2200,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Elk Grove,California,95758,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Fairfax,Virginia,22033,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Nixa,Missouri,65714,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Coral Gables,Florida,33146-2515,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Denville,New Jersey,07834,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Clinton,Mississippi,39056,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Yorktown Heights,New York,10598,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Bergenfield,New Jersey,07621,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Kenosha,Wisconsin,53144,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Lake Villa,Illinois,60046,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Spring,Texas,77388,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Moseley,Virginia,23120,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Dumont,New Jersey,07628,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Sherrill,Iowa,52073,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Coronado,California,92118-2572,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Montclair,New Jersey,07042,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Crosby,Texas,77532,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Valdosta,Georgia,31698,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Huntersville,North Carolina,28078-6406,GRE/PhD,Grad Application,RUC Grad Program List,Letter
S Glastonbury,Connecticut,06073-3031,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Fletcher,North Carolina,28732,GRE/PhD,Grad Application,RUC Grad Program List,Letter
San Francisco,California,94103-2444,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Dripping Springs,Texas,78620,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Wilmington,North Carolina,28412-8321,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Arlington Heights,Illinois,60004,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Apple Way,Maryland,20685,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Surf City,New Jersey,08008,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Plattsburgh,New York,12901,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Albuquerque,New Mexico,87107,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Valhalla,New York,10595,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Macon,Georgia,31210,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Toney,Alabama,35773,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Seaford,New York,11783,GRE/PhD,Grad Application,RUC Grad Program List,Letter
San Fernando,California,91340,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Pleasant Valley,New York,12569,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Chicago,Illinois,60605-0800,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Moline,Illinois,61265-3967,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Richmond,Kentucky,40475-9531,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Mcallen,Texas,78504,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Auburn,New York,13021,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Roscoe,Illinois,61073,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Port Orange,Florida,32129,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Great Falls,Montana,59401-2502,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Rockingham,Virginia,22801,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Tupelo,Mississippi,38801,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Johnson City,Tennessee,37604,GRE/PhD,Grad Application,RUC Grad Program List,Letter
American Fork,Utah,84003,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Monroe,Georgia,30656,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Boston,Massachusetts,02135-1628,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Ridgewood,New Jersey,07450,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Lafayette,Louisiana,70501,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Oak Ridge,Tennessee,37830,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Detroit,Michigan,48238,GRE/PhD,Grad Application,RUC Grad Program List,Letter
New Castle,Delaware,19720,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Glassboro,New Jersey,08028-2364,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Atlanta,Georgia,30327-1853,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Leavenworth,Kansas,66048,GRE/PhD,Grad Application,RUC Grad Program List,Letter
San Antonio,Texas,78209,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Rexburg,Idaho,83440-2754,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Saratoga Springs,New York,12866-1652,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Cullowhee,North Carolina,28723-2240,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Silver Spring,Maryland,20910-3859,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Richardson,Texas,75080-1422,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Wylie,Texas,75098,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Iowa City,Iowa,52240-4221,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Gainesville,Florida,32601-7884,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Bridgewater,New Jersey,08807,GRE/PhD,Grad Application,RUC Grad Program List,Letter
New York,New York,10002-6971,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Vienna,Virginia,22181,GRE/PhD,Grad Application,RUC Grad Program List,Letter
